Organisation Name,Town/City,County,Type & Rating,Route
Google UK Limited,London,,Worker (A rating),Skilled Worker
Microsoft Research Limited,Cambridge,Cambridgeshire,Worker (A rating),Skilled Worker
DeepMind Technologies Limited,London,,Worker (A rating),Skilled Worker
Baker & Son Bakers,Manchester,Greater Manchester,Worker (A rating),Skilled Worker
SoftTech Solutions Ltd,Birmingham,West Midlands,Worker (A rating),Skilled Worker
Apex Consulting Group,Leeds,West Yorkshire,Worker (A rating),Skilled Worker
London Dental Care,London,,Worker (A rating),Skilled Worker
SmartAI Tech Ltd,Bristol,,Worker (A rating),Skilled Worker
The Computer Workshop,Glasgow,,Worker (A rating),Skilled Worker
Global Consulting Services,London,,Worker (A rating),Skilled Worker
